État,Marque,Année,Adresse,Prix,Image
Neuf,Yamaha,2023,"Plateau,
                                                                                Dakar",4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ae227108439cf00addf92635fbfa971/-/horizon-files-prod/ed/picture/q78wjn5e/6aa7d45327513e407c74648c2d134f3224996b9c.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7abd68c8a91ae83807e0aea3ffcfa23/-/horizon-files-prod/ed/picture/qenq2j2j/8c2fe225bd22c88cb76eae43227893c20d7b78a1.jpg
D'occasion,Kymco,2010,"Biscuiterie,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/601e6f4b8fbbbde8f025e42c64e865be/-/horizon-files-prod/ed/picture/qxj8675w/5cd6413a666a3423ca51484ad990498c21dbe084.jpg
Venant,Suzuki,2008,"Tivaouane peulh,
                                                                                Dakar",2 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5321b130f5aa85887cfeadb7ca84c8ce/-/horizon-files-prod/ed/picture/q9mk8x9p/54e1a1411afd7b72a112410793935a3436ea0d02.jpg
Venant,Honda,2000,"Dieuppeul,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4cb2b978949e4d37b9df14fe09d5cfa5/-/horizon-files-prod/ed/picture/qenv46q6/48c75d49cc18a3d59fe38a17a5410bef3f7755b1.jpg
D'occasion,Kawasaki,2005,"Mamelles,
                                                                                Dakar",1 600 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/febc19f763362b9e287a0f7e74612efe/-/horizon-files-prod/ed/picture/q2jkr5m6/691e5075a3ba29679dd77e665799afb5b2155371.jpg
Neuf,Yamaha,2010,"Liberte 6 extension,
                                                                                Dakar",1 650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63518bd51fe785c3108b96e29724983d/-/horizon-files-prod/ed/picture/qj46j2dr/be57e7b81df0183d5c544ae7fc47cb7f74c72d3b.jpg
Neuf,Lifan,2025,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/215178b4592e6a8b55ff1f60e4510033/-/horizon-files-prod/ed/picture/qkr752m2/6ff5592388950e82a9a56c17e42a7f396b31efe0.jpg
D'occasion,Monto Motors,2017,"VDN,
                                                                                Dakar",5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af081cb477a89fa433b57d2738c4832a/-/horizon-files-prod/ed/picture/q44nvm82/b89a2727ab5f6f082998e0af341d6b2694a2b046.jpg
D'occasion,CF Moto,2023,"Saly Portudal,
                                                                                Thiès",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b9450f0109c89f3b47335d907a947549/-/horizon-files-prod/ed/picture/q9mk8g97/0f92120d7b5fcc6beb5e34dece215468846a1702.jpg
D'occasion,Yamaha,2012,"Cité Damel,
                                                                                Dakar",650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e5889e1ae61f656d76dd5ade800a4c00/-/horizon-files-prod/ed/picture/qv4dpe85/c395df093d36737cf0cc52e591158f85df2a7aeb.jpg
Venant,Polaris,2014,"Mbour,
                                                                                Thiès",5 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78ab68a1ea4bd269b90e5800ae3f7f77/-/horizon-files-prod/ed/picture/q6xq6dgj/1abc703e6d5b98d1d1db73b3b754f0541c5dba8a.jpg
Venant,Honda,2017,"Dieuppeul,
                                                                                Dakar",3 200 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b6228211b7963625adfc36a6167147f2/-/horizon-files-prod/ed/picture/q0gk2g5x/9ee413a1a54c26156a7c3af3d913ab8e2a1c39fc.jpg
Neuf,Autre,2026,"Mbour,
                                                                                Thiès",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ced6f6f813cd13047fd83f4dad02085/-/horizon-files-prod/ed/picture/qm50rm2j/52d48be0459640ef9bf2c32c3f4794952d4ae0c9.jpg
Neuf,Vespa,2010,"Djidah thiaroye kaw,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a81e6eff57da2bd77485ae0af51570c/-/horizon-files-prod/ed/picture/qrzrzd55/3228bba0103fddaa58d93e2035b45f722a4550b5.jpg
Venant,Yamaha,2006,"Saly Portudal,
                                                                                Thiès",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cac5a2b0257ab210d975bc96345d7fbe/-/horizon-files-prod/ed/picture/qwerevxk/ca344542f11a92abcaca4b087cad55a83832522e.jpg
Neuf,Piaggio,2016,"Sicap Sacré-cœur,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a129b109e8f79a47f35c431914c9cce/-/horizon-files-prod/ed/picture/q0gkgqg8/98c26e52e264e6cdcc600fbf19b4c18c994c5232.jpg
Venant,CF Moto,2020,"Mbour,
                                                                                Thiès",3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d08b04c6acd04681cae4b46319f69fe6/-/horizon-files-prod/ed/picture/q78j8ed5/aaf6ff7f67c6bbed0c464f0e5cf0d02c474a7d6e.jpg
Neuf,Autre,2000,"Grand-Dakar,
                                                                                Dakar",13 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0fa661aadb325ea28a95275565d98e5/-/horizon-files-prod/ed/picture/q8vzx6zj/910f1bdc8e0aa0ae3f94a363a1ee52949966d6b9.png
Réconditionné,Yamaha,2021,"Grand-Yoff,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/225da34639610edb91fb1f9227f68d3a/-/horizon-files-prod/ed/picture/qkr7reqp/a1f5c52204e201f763c830aac4d233ba0aac8aaa.jpg
Venant,Honda,2016,"Dieuppeul,
                                                                                Dakar",1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6834cf13aee5766ecc6c515bc6abfda4/-/horizon-files-prod/ed/picture/qgqmq6xk/61f85288ff913832977017054860553d0d04716d.jpg
Venant,Honda,2022,"Dieuppeul,
                                                                                Dakar",1 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9121e429527628acf4059742c836dad7/-/horizon-files-prod/ed/picture/qrzrzxeg/9e1d339dab210a0b4de0c3de1ff2c66c25676434.jpg
Neuf,Rieju,2025,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1c86a3cb45cce8161ce76c0db1eab0b/-/horizon-files-prod/ed/picture/qgqmq6j0/a6f6862a115a721098afc39f91c0dfd6f23d6eb5.jpg
Venant,Kawasaki,2017,"Dieuppeul,
                                                                                Dakar",1 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f55c753b96f116b80f4ff377b08609f/-/horizon-files-prod/ed/picture/qwere6wp/a462d022ed8bb226ef249b53033cdb212a4c0651.jpg
Venant,Aprilia,2023,"Almadies 2,
                                                                                Dakar",3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d73b208bff2b37d7ef463475db0950eb/-/horizon-files-prod/ed/picture/qgqmq7v9/9dd5537fea156dd5b23eedf5eaaf10328da67912.jpg
D'occasion,Autre,2010,"Saly Portudal,
                                                                                Thiès",1 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c50bb1546206d60288a4c7e0bdb35296/-/horizon-files-prod/ed/picture/qwermj95/e67c1b3e54f06ce74f78461a805482a33490734b.jpg
Venant,Kymco,2023,"Hann maristes,
                                                                                Dakar",850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc753c0f732061194123c69cfe421104/-/horizon-files-prod/ed/picture/qwerex75/ccfcde9ed81b5648c1f8974913a614090971e5dc.jpg
Venant,Honda,2022,"Hann maristes,
                                                                                Dakar",825 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/585d3cbd9eec8d8c05764a9a980b2270/-/horizon-files-prod/ed/picture/q56p6q8e/bc0a0f4b1fb30e132bbd223658ad829e5637ea3c.jpg
Neuf,Lifan,2025,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c073187e7c0b2b830ccf4da854e0a4bd/-/horizon-files-prod/ed/picture/qng9g8zv/791ef1acdd09cb51b48455fead712a5095530e0b.jpg
Venant,BMW,2023,"Dieuppeul,
                                                                                Dakar",4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5937cc618d536ac1d723ab9c3b6beac4/-/horizon-files-prod/ed/picture/qj4647ke/6b56703c7e0ff3d1ca0f823a0ba228d531f32cc5.jpg
Venant,BMW,2024,"Médina,
                                                                                Dakar",6 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de4886b8c88df7090bc48d7b7b55a989/-/horizon-files-prod/ed/picture/qpdgdqev/62db567e04887e3aa3ca510056c1b1a95f08999b.jpg
Neuf,Yamaha,2025,"Liberte 6 extension,
                                                                                Dakar",1 150 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11cc93d6bcc52ad0fe234e778d36280a/-/horizon-files-prod/ed/picture/q2jkjgvv/1764275ec746119a4b340d81e1db1a1a7b687d7b.jpg
D'occasion,TVS Motor,2021,"Ngor,
                                                                                Dakar",400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/417be6486f1f5571c33ca540b3320781/-/horizon-files-prod/ed/picture/q56pwr4e/2d09beb9f77f889913a2f354ae9772bf377af94d.jpg
D'occasion,Honda,2014,"Hann maristes,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03bf37b239f76315191cb143c4797ab8/-/horizon-files-prod/ed/picture/qxj8jwkq/f93a039a730df5b6ad6c62eaebf311840df4da04.jpg
Neuf,Yamaha,2024,"Avenue Bourguiba,
                                                                                Dakar",2 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ad3c152b08106a91e7e15e7f2575302/-/horizon-files-prod/ed/picture/qkr846dz/c2888c20cc6d6e37b192e30bb2fb11e99407ca7a.jpg
D'occasion,Kawasaki,2021,"Oussouye,
                                                                                Ziguinchor",3 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c964e749956e3795989577f0f97b4a7/-/horizon-files-prod/ed/picture/q6xqx6kn/fed27e7f99bf586253ff496d65ba148c6e15f30e.jpg
D'occasion,Yamaha,2014,"Parcelles Assainies,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/08944b848c7f72040644a7d6ae344181/-/horizon-files-prod/ed/picture/q4454d48/d89d0e8e76d31738f8aae057c53ddb2239af6845.jpg
Venant,KTM,2023,"Fann Hock,
                                                                                Dakar",2 875 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d6d256c93608d11cd3c9b96f5e6442f0/-/horizon-files-prod/ed/picture/qng9g59g/9c1d3e110cd36fdbd7426b1581a29722aa4b38a8.jpg
Venant,SYM,2020,"Liberte 6,
                                                                                Dakar",750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39d38260e8b16c998f36c612c8b12da0/-/horizon-files-prod/ed/picture/qwerm6dj/15cc840545a0223834752682f26d0b447fc7ec70.jpg
Venant,Piaggio,2021,"Liberte 6,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/77ba1ba39978c9505a97838669118a7b/-/horizon-files-prod/ed/picture/qv4dmjep/a3d045d07365250e3a93b715b6475f0b880828c2.jpg
Neuf,Kymco,2023,"Liberte 6,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb6d25e9532c7eadbbdf05bb68fccafb/-/horizon-files-prod/ed/picture/qm50mwr9/3090d8fada88d0fe1709444f813726d138fb3ef3.jpg
Venant,Yamaha,2025,"Liberte 6 extension,
                                                                                Dakar",1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/718233ced0e4110bdceae5b9c9d9284c/-/horizon-files-prod/ed/picture/q0gkppqj/7ad85b8eb1338c97a2019e8b9c4152db69181853.jpg
Neuf,Autre,1920,"Grand-Dakar,
                                                                                Dakar",18 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42609bd174d635a703393e1ec7fb6fa7/-/horizon-files-prod/ed/picture/qrdkpj8/e1a89bca668421d2f38126279d22a249e71a3117.png
D'occasion,Yamaha,2016,"Grand-Dakar,
                                                                                Dakar",2 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1f9f89946e3a923f07dcb9e66d8a547a/-/horizon-files-prod/ed/picture/q56pw856/963f5f9fe360f54c95c8e89fe622fcfc272db8b9.jpg
D'occasion,Piaggio,2008,"Ouest foire,
                                                                                Dakar",260 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73b7b4288279cfc39000791cb3b34442/-/horizon-files-prod/ed/picture/qxj8dx8m/6a33f86c831e87c5757a9ecb9c9b7ce2ccba3a1c.jpg
Neuf,Autre,2025,"Grand-Dakar,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91961a02c305ea1f2bd908003dad21c5/-/horizon-files-prod/ed/picture/q0g7jdmg/ba7767c6e8e6ba0ff7a25f54b53072aeb9927ef8.jpg
D'occasion,Zhongyu,2024,"Mermoz,
                                                                                Dakar",400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9c81b50d781080cde3b898b8e608bec3/-/horizon-files-prod/ed/picture/qenrdxmk/00212aca6b3f4bdbeab84d720f2f8487f8e62904.jpg
D'occasion,Honda,2014,"Ouakam,
                                                                                Dakar",295 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66e0ef5614a5abe378c6e0b01b53b836/-/horizon-files-prod/ed/picture/q8vm0k59/6dfea63da394facc12d7f6dcc3398339dd9125e5.jpg
D'occasion,Honda,2017,"Hlm,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/86a40d624681c0b3c20bb8f51e0b53fe/-/horizon-files-prod/ed/picture/qpdmxz6m/0b6a14823b8eeb3484a05b57aa815bc510f5bb24.jpg
Neuf,Piaggio,2019,"Yoff,
                                                                                Dakar",1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/83cda8b41a47cee475b69a505334623a/-/horizon-files-prod/ed/picture/qj4q7055/ba7f9c95d99a829f128db29b92f670d064ca9614.jpg
D'occasion,Honda,2024,"Dieuppeul,
                                                                                Dakar",280 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4b7ee9605c88e885908155a2b3a4912/-/horizon-files-prod/ed/picture/q445j4k5/dcb6a749e8a5052650ef9ef997637dfd08a064a1.jpg
D'occasion,Yamaha,2012,"Dalifort,
                                                                                Dakar",750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21e52105446566f52e1e8efe74ab2ef6/-/horizon-files-prod/ed/picture/qq4zq4qv/3f9599f972f5755ebe7970dea7f3981054bda12f.jpg
Neuf,Honda,2025,"Liberte 6 extension,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87ba379d0c7df4be63d963583efe0044/-/horizon-files-prod/ed/picture/qenvg6zj/4a100a1899519557e4b5191d13d3c339903c1bfc.jpg
Venant,Piaggio,1997,"Guediawaye,
                                                                                Dakar",650 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65d50ba0c6f7604b21a627650bb1a414/-/horizon-files-prod/ed/picture/qpdmkzrr/e52fcd6afccb2542c1761b1da26b458f8f5dbe66.jpg
Venant,Yamaha,2017,"Pikine,
                                                                                Dakar",2 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d45c5346b4f1c6de867f457afceac420/-/horizon-files-prod/ed/picture/qq42pdxv/2157f94b5773e311ce6a1a143797c171c60a9153.jpg
Neuf,BMW,2021,"Sacré-cœur,
                                                                                Dakar",3 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e538217079ca69047be8cf98192b41da/-/horizon-files-prod/ed/picture/qenvn764/03517e43b0f3e59a96e11f1966cd6b38512e8d3d.jpg
Neuf,Honda,2020,"Liberte 6 extension,
                                                                                Dakar",1 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63c4ddb0e14f1f86c203956d4da5f8e1/-/horizon-files-prod/ed/picture/q0g7mgpm/e29653e62d5736e488072d9504799dba56b92d03.jpg
Venant,Ducati,2021,"Hann maristes,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be364081780cb35e871a734e8ad2717f/-/horizon-files-prod/ed/picture/qm5gn79m/32cc521ef5e977214c3d45f67a10a088da070f7a.jpg
Neuf,Piaggio,2015,"Amitié,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/92339be1ba1b415c83e26f80b1297c40/-/horizon-files-prod/ed/picture/qrz8gzv5/6cb4f5c3bd7330c1a4257254564e204c0f443877.jpg
Venant,Honda,2018,"Hann maristes,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/809d29f139a239118acfa17adf42cdd0/-/horizon-files-prod/ed/picture/qj4q8v78/7c81cd168b45f98ac41e6f82174ee72c02572261.jpg
Venant,Honda,2024,"Liberte 6 extension,
                                                                                Dakar",2 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/431cf98460ccbc5ce3493deff8949293/-/horizon-files-prod/ed/picture/qenv0g2j/0952daa74f94463f1760d8b516abb512e37d1529.jpg
Neuf,Moto Morini,2022,"Colobane,
                                                                                Dakar",325 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/afa00f7c6328accad6428272dc661597/-/horizon-files-prod/ed/picture/qq42jj2p/18ed1c6017c0992432571f35caee6cd0a3b4b6c2.png
Neuf,Yamaha,2025,"Liberte 6 extension,
                                                                                Dakar",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a36ea91e60e93b3a0773eb378a0452b2/-/horizon-files-prod/ed/picture/q8v46qkr/edafc73bc509659d2651f2364d24b44900a44cab.jpg
Neuf,Bajaj,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4525f88b3b091c56a8483582e00de602/-/horizon-files-prod/ed/picture/qngp29k0/b3354618c602dd44779656f8684e0b454aa51097.jpg
Venant,Honda,2008,"Yoff,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/601fa7994f2eb3894fca4fb33802f198/-/horizon-files-prod/ed/picture/qgq92rer/299dff3eca87597e57099f8cfaf7277810b7a37b.jpg
Neuf,,2025,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea7b8ec3b0ac42610581a41ce99861d6/-/horizon-files-prod/ed/picture/q6xd9qdg/0980d8319b369c0154b9731118dd04e6d78a1c82.jpg
Venant,BMW,2023,"Dieuppeul,
                                                                                Dakar",4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c1da971a1b2355aeb54002a65264621/-/horizon-files-prod/ed/picture/qgqwe588/7b3ae52cc876d596a7a1e508c2b5f5be14aa7723.jpg
D'occasion,Polaris,2017,"Saly,
                                                                                Thiès",8 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea1ce40e851c61557b2d7b8376d12cb5/-/horizon-files-prod/ed/picture/q0g7452j/135ebae3a52df56f8774ed31caef6b404359064d.jpg
Neuf,Autre,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5803b46977393e187c984faae000f329/-/horizon-files-prod/ed/picture/qq42x644/796a8fd1bd97eed3bbe698dc4704035124c0ab59.jpg
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d9b28fa55f9ae4db758600c466983f0c/-/horizon-files-prod/ed/picture/qv4e7558/e62337323745c2821d432d4ed8f96599f65682b4.jpg
Neuf,Honda,2020,"Sacré-cœur,
                                                                                Dakar",2 950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b668347f33ec4e71bc0852a201c556ea/-/horizon-files-prod/ed/picture/qzvpexwg/5edd241edf66b4cd3b9242cf23d8a08db45cdf81.jpg
Neuf,Autre,2024,"Fass,
                                                                                Kaolack",650 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bef847a5042cdc9feea601bc760e323a/-/horizon-files-prod/ed/picture/q0g755md/4d77e150f2da0f6b1a8a9d6a5c26e8ea26a3de68.jpg
Neuf,Autre,2024,"Yoff,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ec1b27c8042b025e3e7b8e1c0583f82/-/horizon-files-prod/ed/picture/qkrgwe7z/8e6e149d26d72ffe10565084f4abc9fce64613a1.jpg
Neuf,Zhongyu,2024,"Ouakam,
                                                                                Dakar",450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/26b316e118ea6c00257abc1bf4182e5d/-/horizon-files-prod/ed/picture/q6xked4z/7e4d1b365dac9205f1d8e0f84c53e58579e4d5bf.jpg
Neuf,Lifan,2024,"Sicap Liberté,
                                                                                Dakar",1 350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/995c781c5818eeb8da73e215f5788071/-/horizon-files-prod/ed/picture/qkr88488/5b1dd419440d6730def3b3adef0d2f065462d092.jpg
Venant,BMW,2023,"Dieuppeul,
                                                                                Dakar",5 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b949ad67732db10adf13bc8c4a5a4d81/-/horizon-files-prod/ed/picture/q9mjrw95/f7f02ae52859c873ebdf427976982c1da2a7f418.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/818fc995401a1c505baf0e1d797d80ab/-/horizon-files-prod/ed/picture/qgq9zjdr/ba2a13c24dfa81eb512370c62224e6ef26bd490e.jpg
Neuf,Lifan,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7fb4badb7307de5e5ac6b2f1944d557/-/horizon-files-prod/ed/picture/qrz8rqgn/16ad98419af68281952b6fe7f6ef8064013b3b09.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/236f8c27dd9c977994415fdd38578870/-/horizon-files-prod/ed/picture/qwe2j5wd/6906b05a31018109c473109e07322d45e46604ed.jpg
Neuf,,2024,"Sicap Liberté,
                                                                                Dakar",1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ab0c8d39f1dbc89b4f8344182f5abd3/-/horizon-files-prod/ed/picture/q56d4xkr/1c5a79f9fe75cd62de449c376f21a22a0417e28c.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82ddad562771bc84994917cb0ea7016e/-/horizon-files-prod/ed/picture/qpdmd54q/9df0f9c972f7c1cf9a80ac50869009d5bb443acf.jpg
Neuf,Autre,2024,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54d0a61b3e16115cb545e09508cc846f/-/horizon-files-prod/ed/picture/q9mjm6dv/a7a5196ca4e1b30a5f987f79018fa1b9c8c53501.jpg
Neuf,Autre,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fc475eb670e87b7ec3405219dd45d1b/-/horizon-files-prod/ed/picture/q2j0jdw2/c07ce722bba1eee08a66204cb734f99cb0e82318.jpg
,,,"Sicap Liberté,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/006e38ada4e3ace879d339c64127f866/-/horizon-files-prod/ed/picture/q0g7gnqm/324ae6d945066025c131c53031529da894435a0a.jpg
Neuf,,2024,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3fe18e5dfb96937f2b0f3dcb3e44372/-/horizon-files-prod/ed/picture/q6xdx62v/e76bf5307297bdbe8895f4a08ca2b551afb65e21.jpg
Neuf,Autre,2023,"Grand-Dakar,
                                                                                Dakar",8 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1376048b54a34b5d46327ed939b5d181/-/horizon-files-prod/ed/picture/qxj64e9q/5e510ec074e015ad34c89937ef0be14ff48482ce.jpg
Neuf,,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/872ca96f4affdf36d27c7ef2ca7ad1f0/-/horizon-files-prod/ed/picture/q6xk9v48/21cf8a7e668761337e8766f2fb995b5b27021ac7.jpg
,,,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ec5f5409394f88b5a3941eef646f5d5/-/horizon-files-prod/ed/picture/q6xkj9ev/fa19a88cd86967ac48bc1b3aad664d34777a9168.jpg
Neuf,Zhongyu,2024,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf243a9317909804ec5c04d33150bf7c/-/horizon-files-prod/ed/picture/qngxvd70/7600b2e3f93d55b0a811bf06eaa7a9a5496b8789.jpg
Neuf,Autre,2023,"Mbour,
                                                                                Thiès",1 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12d5e091c8319d7ed5ce32e775555bdc/-/horizon-files-prod/ed/picture/qzvdnnk8/30043caf95901c04592566638efc968f9827ecd7.jpg
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/091c8a8b1611452b4fba7144a8d1b4d4/-/horizon-files-prod/ed/picture/q56x0860/ec5c2d30fadfd2d765529e99648f7238eef82a0d.jpg
Neuf,Zhongyu,2024,"Ouakam,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b272fd68bd510da0fbb37955b1e794c/-/horizon-files-prod/ed/picture/qrzvprn4/90c9cd56a394713333665175a86b93bbfb1fbc22.jpg
Neuf,Zhongyu,2024,"Ouakam,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/88ff6a08e88f43f35933b7e6da951765/-/horizon-files-prod/ed/picture/q0gwek8j/52191b4aa83e7e354b9ec0375e7a8a40abd08840.jpg
Neuf,Lifan,2024,"Castor,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7925856756ae2436c608ca464458f241/-/horizon-files-prod/ed/picture/qdek8vv0/adf36d0eac772371fcb569b0043051c1e9f8f82f.jpg
