État,Marque,Année,Adresse,Prix,Image
D'occasion,BMW,2023,"Sicap Liberté,
                                                                                Dakar",6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f48f930e46e8e51c584c9f56d4e312cf/-/horizon-files-prod/ed/picture/qv4dgp45/180b0243cbd1606b2a9934a94cb92dd49d2b1766.jpg
Venant,Honda,2018,"Bargny,
                                                                                Dakar",1 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5811c7cae6b807152705f5ef3f0b70bb/-/horizon-files-prod/ed/picture/qzvpmxkk/0ed3a3a2d87738f744721ed673145bb12d177aa9.jpg
Venant,Autre,2024,"Hann marinas,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0efad44d174f8ae7309b3797ad29829a/-/horizon-files-prod/ed/picture/qenrrg79/e213450b5a4cebee9dd2398a1471795f157c2115.jpg
D'occasion,Lifan,2022,"Mamelles,
                                                                                Dakar",490 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/15cf40e834cc1fa4cfae14a41106bca5/-/horizon-files-prod/ed/picture/qng99m8v/c541e21d71ff931b3d408410a97b37e206d104a4.jpg
Venant,Yamaha,2019,"Plateau,
                                                                                Dakar",3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/947e4da5617e96696437d33a334d0a6d/-/horizon-files-prod/ed/picture/qrzrr9px/cfb7f36e8321a635b87ad42a9bf5581a821dae0e.jpg
Neuf,Autre,2024,"Sacré-cœur,
                                                                                Dakar",395 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/169fa32c67258120efb4bfef6616bd54/-/horizon-files-prod/ed/picture/qng9969m/38bc10f51ed8b2935b1e00fd71ef9a8849987ec4.jpg
Neuf,CF Moto,2025,"Saly Portudal,
                                                                                Thiès",16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc0f7ee23a071f8aa09d0933ce2102c8/-/horizon-files-prod/ed/picture/qj46609w/d61bb92477a452da8f94da8f3839f33222870661.png
Venant,Piaggio,2017,"Mermoz,
                                                                                Dakar",325 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44de501f826dc33d9dda6fd620d47cbd/-/horizon-files-prod/ed/picture/q0gkwzkx/40eb7341ea20dd7f6371be3c64ab1646eb4cd484.jpg
Neuf,Yamaha,2012,"Almadies,
                                                                                Dakar",2 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/087fee87c116de136153782878ec55e2/-/horizon-files-prod/ed/picture/qkr77njv/c44f4c624e23b490f32ee2b03037cc70e21b542f.jpg
D'occasion,Honda,2017,"Mbour,
                                                                                Thiès",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/43da56746bcf8ccf556edbfa7c2ccbd4/-/horizon-files-prod/ed/picture/qj464z74/d5da0d6fbc2dc5fa79cff50c1462063626123abb.jpg
Venant,BMW,2015,"Hann maristes,
                                                                                Dakar",3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ffb2260bc911bd33743ef3da03a05aa1/-/horizon-files-prod/ed/picture/qwerp72k/1ae2194ad998b3f6f14289ee3c9f49890c29cda3.jpg
Venant,BMW,2017,"Hann maristes,
                                                                                Dakar",3 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d07d92c1ba94118e79ae452d816a72/-/horizon-files-prod/ed/picture/qde99zq4/8fc6e090e9a92aa5047a9eb37cc30ed0ed24c822.jpg
D'occasion,Honda,2016,"Yoff,
                                                                                Dakar",1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b673b570aa0a8ab4f7ea2a79b12a6508/-/horizon-files-prod/ed/picture/qzv8857g/05168e70b4a64c4b5f3c9859802b4dc6426338bd.jpg
D'occasion,Honda,2016,"Yoff,
                                                                                Dakar",1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f7680aac0cca879db8f5fab5f80ea02/-/horizon-files-prod/ed/picture/qrzrr4g5/72504951afff7e4b643c64f1397fccb62a01b9ed.jpg
Venant,BMW,2011,"Golf,
                                                                                Dakar",2 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96da6ce7b1be0cb787097e3a08259f4b/-/horizon-files-prod/ed/picture/qrzrr4pg/8b076f980e74323f32ca302226b1670b2e63c2df.jpg
Venant,Piaggio,2008,"Hann maristes,
                                                                                Dakar",670 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2befeb75e54036603bce2335b8b59d78/-/horizon-files-prod/ed/picture/q8v47qgn/5e0dd2c2ffb6cced05a221e245e114e08ec9ea23.jpg
Venant,Yamaha,2007,"Djily mbaye,
                                                                                Dakar",575 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e32088f5872038c21ebb7a7c7a5ffa9d/-/horizon-files-prod/ed/picture/qm500gkg/df7a08332d969227338d09dc33b68514f720b07f.jpg
Venant,Yamaha,2022,"Fann Hock,
                                                                                Dakar",4 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5fc7e35f8d5008b75a875864348ceb3/-/horizon-files-prod/ed/picture/qpdg6kjx/c979a170aa2563271563d64a0d62eb34adb8a83a.jpg
Venant,Yamaha,2024,"Fann Hock,
                                                                                Dakar",4 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/144c90c17f34f9bf21deda482cb02e1b/-/horizon-files-prod/ed/picture/qpdggpdj/d8b32b2ab1c673bdcbcf91c43398649365b33d7c.jpg
Venant,KTM,2022,"Fann Hock,
                                                                                Dakar",2 865 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c08f8118aa3e24f9f3f8b4742ab44eb8/-/horizon-files-prod/ed/picture/qngpkexm/9d3ff24db94a89ac1400a50a32e9742984861186.jpg
Venant,BMW,2020,"Fann Hock,
                                                                                Dakar",6 980 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c70b18418fc2d11da192f586b04d4d98/-/horizon-files-prod/ed/picture/q78wee7q/928a61ac47a2bd3bec755c53dfa2707c9bd0e152.jpg
Venant,Piaggio,2021,"Fann Hock,
                                                                                Dakar",897 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e4fc9250e92852cc020c045dee3717a/-/horizon-files-prod/ed/picture/qxjpnv22/d1554d00d00905523a58968d98c9866b116576d5.jpg
Venant,Piaggio,2020,"Fann Hock,
                                                                                Dakar",897 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7e6ed4d9cc84ab756f8b9c94f58b22c/-/horizon-files-prod/ed/picture/qpdm5e6j/537eabdf9416ddc0cacab3602a38fb9870c715c6.jpg
