etat,marque,annee,boite_vitesse,adresse,prix,image-src
Venant,Mazda,2017,Automatique,Grand-Dakar,6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/088abc6376f4f904db01a4944849e01b/-/horizon-files-prod/ed/picture/q56d76wn/b8c3f3aa327bc077c15886c07755e8794897f6fc.jpg
D'occasion,Ford,2017,Automatique,Almadies,5 950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/90e9e50e8dbc686b63da53579d2ae27f/-/horizon-files-prod/ed/picture/qxjp4de8/26253da4de7cf5f245c7741445ba5653a4f15a9d.jpg
Venant,Hyundai,2017,Automatique,Liberte 6,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/739eaf9836326bc0077ee8aca5bd09fa/-/horizon-files-prod/ed/picture/qxjp46em/cd6c862e166788b7d5e517ebfae8ddd69423a329.jpg
Venant,Jeep,2016,Automatique,Mbao,6 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/070cd25388bed586a4f10c0ed22c89a0/-/horizon-files-prod/ed/picture/q78wn7qj/1b2ae31cf2335fa9ba02878b0efcde4c8c01797f.jpg
Venant,Hyundai,2017,Automatique,Almadies,5 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d41068fd94d9e87cf17e53166cedad9/-/horizon-files-prod/ed/picture/q8v4q544/c32e18dc15eef888a428e1802ff0d872680aa5e5.jpg
D'occasion,Ford,2014,Automatique,Almadies,3 550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bc744cb87cff05026207d8ea0a8b63a/-/horizon-files-prod/ed/picture/q56d7xdn/a7833afe5bb4d0ce5c80336dce78d584a75a6bbd.jpg
Neuf,Peugeot,2016,Manuelle,Nord foire,6 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c07e6883e8a57f604863525ad1568e8d/-/horizon-files-prod/ed/picture/q0g7evr8/a95137b042ce0967d13bb5cdcb91eeed75a92690.jpg
Venant,Mitsubishi,2016,Automatique,VDN,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2cba445f92610a6e2a7c6fa3abbea944/-/horizon-files-prod/ed/picture/q8v4q5m4/62fc476e64c0bbbbc88e0aed67e8e9ae914810ac.jpg
Venant,Jaguar,2019,Automatique,Fass,17 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf6e04b473bde96a1e9987027ca38028/-/horizon-files-prod/ed/picture/qngprprw/718c373ec7aa1fcef99cbb4fb41cd8c1b5b17d89.jpg
Venant,Mitsubishi,2022,Automatique,Ouest foire,16 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7658984b7193a0a371eb64fdbdc15330/-/horizon-files-prod/ed/picture/qzvp7wdr/c2b1058cfa4104b5d7f80c3b38fbb633a9a43905.jpg
Venant,Toyota,2018,Manuelle,Pikine,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/529cdb6b91564e8bfcb278ea727e9a04/-/horizon-files-prod/ed/picture/q0g7e5qm/b735223decd82ac692ce4454eadb10f2ff2acc8c.jpg
Venant,Jeep,2016,Automatique,Nord foire,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6138d5a630da2b6d08be78a48c2891a5/-/horizon-files-prod/ed/picture/q56dmqr0/746f7ca39770c955099dc9b168fe95fe89fbb428.jpg
D'occasion,Maserati,2016,Automatique,Point-e,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/251c8599e05fda0f5b0e84c1b27b9f7f/-/horizon-files-prod/ed/picture/qwepdn96/0b7ccaed49f54ef8e8bc8b06aa7e7c6df5c98d3a.jpg
Venant,Mitsubishi,2018,Automatique,Amitié,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6aa1ed35ed370f4987582dcae81c829c/-/horizon-files-prod/ed/picture/qenv0gxj/28b1fd02d4998097521577219df4d554491d0bc2.jpg
D'occasion,Jeep,2015,Automatique,Cité keur gorgui,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fbf3c92e8e5457276ef33fed1833e9f/-/horizon-files-prod/ed/picture/q9mjpqjv/f21c80cba581186ceb3170ead33c65f6082a5c25.jpg
Venant,Hyundai,2017,Automatique,Sicap foire,8 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af936945fba67205f761dc8521168603/-/horizon-files-prod/ed/picture/q6xd0nn7/055dfe11e1a489a33ebb69fb4024bb0c0c58b6fb.jpg
Venant,Toyota,2020,Automatique,Mbao,22 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/947f6e01474d77863d6e1faf3369d567/-/horizon-files-prod/ed/picture/q6xd0n24/a9ee957b15f6911bab51c091bc43e6493af6f031.jpg
D'occasion,Renault,2009,Manuelle,Mbao,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bf233f1644726aa84b6d2f4f2cf9d35/-/horizon-files-prod/ed/picture/qenvg996/2f3b8d6bcd66dcfa1da8a4a0ab68d36b1a1e0971.jpg
Venant,Toyota,2016,Manuelle,VDN,7 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7066eebc2ff269b3289f3b5d878efed6/-/horizon-files-prod/ed/picture/qenv6j76/5feca5897cae0ee18d450fa0c83ff553c968f5a1.jpg
D'occasion,Jeep,2015,Automatique,Rufisque,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eba709014bdc4cb75b2f890441b188d3/-/horizon-files-prod/ed/picture/qngpqp0k/855876f913f07ff7981e8283569c28f574b71b9c.jpg
Réconditionné,BMW,2025,Automatique,Liberte 6,89 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46ae8cc7a971ca6cea0af9ca49d57f45/-/horizon-files-prod/ed/picture/q8v4qk5x/621af16c0e1ad391cc24ff1984962e688b062c4f.jpg
Neuf,Ford,2024,Automatique,Castor,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/efbc7f133ce1aea3f0f11d47d533e310/-/horizon-files-prod/ed/picture/q78wng75/50aae93efbe77c7ef1529bedba7ed635b27ad74a.jpg
Venant,Hyundai,2018,Automatique,VDN,11 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58916e4a3bbd9c32c8816909c2d9973b/-/horizon-files-prod/ed/picture/q44nepw8/f6eb954c572eac10ebcfec6ff76908fdfc86178d.jpg
Venant,Mazda,2019,Automatique,VDN,12 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ef50f18fbb7351e0d89b9697c1503e0/-/horizon-files-prod/ed/picture/qgqw2874/4a34832e9570cd5946e191eb7c476b0cafb40749.jpg
Venant,Kia,2017,Automatique,Cité Damel,5 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7323da33d2ef19cc3254f26e7d47ffa0/-/horizon-files-prod/ed/picture/qv4wndnm/e187ff6220a3a5c0c1e45dd19c43c6d6b0198e25.jpg
Venant,Mitsubishi,2017,Automatique,Nord foire,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c00c581d290f6f8827fdd3e74ba7f6bf/-/horizon-files-prod/ed/picture/qq42pgzn/a99c8e7baf9920522cf2905b32031a6ff769a34a.jpg
Venant,BMW,2018,Automatique,VDN,13 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7147c5e4456e701035acfb8874f0edf3/-/horizon-files-prod/ed/picture/qenvg206/ddaa69e572a2a132b22317409388155fb7777e36.jpg
D'occasion,Toyota,2009,Automatique,Hann maristes,4 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f85a9adae63d754690059f6e0ab2b5c6/-/horizon-files-prod/ed/picture/q6xd04vp/90625d2ce63a1484d3849bc355a1357a016c0278.jpg
D'occasion,Porsche,2022,Automatique,Almadies,52 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d76cb27c963b6eeed4276c5bb3b84ca9/-/horizon-files-prod/ed/picture/q9mj469w/094f206bdbfeb02dde669afe6bcaad8e8a8a04fa.jpg
D'occasion,Dodge,2010,Automatique,Mermoz,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0263d70038a5f9b48645d5dfeb7f6ecf/-/horizon-files-prod/ed/picture/q0g7qnjd/dd482f8ca38866db5c5801c1293310c5580310c8.jpg
D'occasion,Ford,2014,Automatique,Thiès,3 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc61e8dbea08a644f61ed2023c6e6dec/-/horizon-files-prod/ed/picture/qxjp4gvn/1a966de8b8529eff0c94145ce052380d9b47af27.jpg
Venant,Hyundai,2017,Automatique,Liberte 6,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea82f57fc12fe352413fdff74b8f9dab/-/horizon-files-prod/ed/picture/q8v4qrgr/65ec9568ecd64a3eb15e858e881d124584a2d560.jpg
Venant,Ford,2017,Automatique,Cité Damel,6 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f0de350246b9778e25b07cbe465ae24/-/horizon-files-prod/ed/picture/qenvgw6v/558fc469e230565d351b54de5a1cccc2e8050a53.jpg
D'occasion,Hyundai,2015,Automatique,VDN,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb327c120520279236e22af926818915/-/horizon-files-prod/ed/picture/qwepq0qp/611868c007a94e74b50d260494a0c928f4b0710e.jpg
Venant,Nissan,2017,Automatique,VDN,8 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c928433b00121a070df2e8d11d8e42b6/-/horizon-files-prod/ed/picture/q8v4qrqp/f3ad078f26451b718a2b56be55aac7d29c82a8ae.jpg
D'occasion,Chevrolet,2016,Automatique,Sicap Sacré-cœur,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f985c94889437adbc60add488b81bfc3/-/horizon-files-prod/ed/picture/qenvgz09/bc3e7ed29c1494054daaa0f69c8f03f3d340be6b.jpg
D'occasion,Volkswagen,2017,Automatique,Keur Massar,3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a2c4783ab2cf3c866091e2b9323e1da/-/horizon-files-prod/ed/picture/qenvg2r9/429316aec98166c5659613d0518e66aa87031a81.jpg
Venant,Hyundai,2017,Automatique,Sacré-cœur,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1504ae7f59333c9135d6905646791d9e/-/horizon-files-prod/ed/picture/q0g7qw6k/3e081bd27cb7e95758b4470b13777f8c9d1222f5.jpg
D'occasion,Hyundai,2018,Automatique,Ouest foire,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be09a537c78cf55e0ebd45cf4b6c7fd8/-/horizon-files-prod/ed/picture/qxjp4n5m/b9f6949d72d5d5231310b338019d2530e53c15c0.jpg
Venant,Range Rover,2017,Automatique,Avenue Bourguiba,20 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6c954d3dc8e9969c18c13c1287af038/-/horizon-files-prod/ed/picture/qxjp4g84/bda5728f9a82ebb6d511709b187b616b1a1faa5f.jpg
Venant,Ford,2017,Automatique,Hann maristes,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc883eebe2d3985134e3cfa5e8947895/-/horizon-files-prod/ed/picture/qenv06v9/fd687344c628ed730ad752a021e7f7ad577449e1.jpg
D'occasion,Chevrolet,2016,Automatique,Almadies 2,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/afc91632c72af075772c88925e6c25e6/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qxjp55jm/3fb1809d5a494e93ecda4ff91a8227cc483e6402.jpg
D'occasion,Mitsubishi,2013,Automatique,Almadies,4 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/397451ee88bab2844c1ad7b7970bc57f/-/horizon-files-prod/ed/picture/qxjp5x4m/cd3505e2b109f0cacba12e69f0e54f20f6db35a1.jpg
D'occasion,Ford,2014,Automatique,Hlm,3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7603591ed2c6bd07077c88871a996d1/-/horizon-files-prod/ed/picture/qngprqgm/5f797525ab4daa9f584938db751b1fab3a5e89cf.jpg
Venant,Mazda,2016,Automatique,Hlm,9 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5686a1d191632f8a7473efb0c7589333/-/horizon-files-prod/ed/picture/qrz8gk6m/79391839e6803f660362151c78f3d18035cf0812.jpg
Venant,Renault,2016,Automatique,Guediawaye,6 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eae44f8e54265daefeb5da15d48cf49e/-/horizon-files-prod/ed/picture/q0g7m488/b10b406dd5f2d6ecd227a9c1128794b97580436c.jpg
Venant,Jeep,2016,Automatique,Liberte 6,6 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03a722a7a3516392712a83531b98f647/-/horizon-files-prod/ed/picture/q2j0px8p/c46cb53d4e61b1cf1041f38ff7c682487dc5aa5a.jpg
D'occasion,Nissan,2015,Automatique,VDN,5 999 999 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96bfe203ae754bf84ac47190da0c23f8/-/horizon-files-prod/ed/picture/qv4wnjkg/8ae1e7d338eaaa8afab52ab4799cf1422b6a407d.jpg
Neuf,Mercedes-Benz,2023,Automatique,Amitié,135 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5ce3efc63ea02af7f04018840997865/-/horizon-files-prod/ed/picture/qpdmk422/13e8521d1bb6a7e4df93959b2961672cab06e410.jpg
D'occasion,Ford,2017,Automatique,Ouest foire,5 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a85e10d5b91f779e8a99a93be4a37fd/-/horizon-files-prod/ed/picture/qgqw2604/0f4c074f68edeedf258d7b6a51f5b15c96784d91.jpg
Venant,Mitsubishi,2018,Automatique,Liberte 6 extension,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f6d664dace5ec24d5a6b17f50598870/-/horizon-files-prod/ed/picture/qkr89zqx/edd87d2f2c5a22baa3f8dbf9a12eb918e50e118d.jpg
D'occasion,Kia,2014,Automatique,Ouest foire,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7d5b43a771104d3f0d437c6dba3f925/-/horizon-files-prod/ed/picture/qj4qv0wz/34e60155277a8a042bcf78b656c1b7fc4d45b265.jpg
Venant,Mitsubishi,2016,Automatique,Guediawaye,8 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9d1d3fbddb418348b26ffbe442732b9/-/horizon-files-prod/ed/picture/q56d7k52/05b5560c5fc3ef66d6e114102937c4ecce423749.jpg
D'occasion,BMW,2019,Automatique,Ouest foire,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1d36e5fc9129d35ce431593f02eb4b5/-/horizon-files-prod/ed/picture/qq42prrk/6e1710d138a8ae3ba666e08cf0024f6c06b46905.jpg
Neuf,Cadillac,2023,Automatique,Cité keur gorgui,75 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e35bbfc5f9ea1b8d3a91f110a55947b/-/horizon-files-prod/ed/picture/q0g7m4rm/9d2fb7ff5a9a54d87284438d5160dfd02bd296dc.jpg
D'occasion,Peugeot,2012,Manuelle,Mbao,4 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3318adedd0c20acad01456427d1669c9/-/horizon-files-prod/ed/picture/qkr89zw2/b76c9866c1f809b116df224fa5dec06c3d91e1db.jpg
D'occasion,Mitsubishi,2015,Manuelle,Mbao,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3bc9e3987c460a8d6dd160d73ea181c/-/horizon-files-prod/ed/picture/qkr8wxvp/fe8549e2e6e2fa4d907d7574270454afb9d4eab7.jpg
D'occasion,Jeep,2016,Automatique,Médina,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d7340be6bb5e7892d9313657eb70998/-/horizon-files-prod/ed/picture/qkr89ppn/6e274ec56eb33ea48a2c4f6672f5dc97bbd61a73.jpg
Neuf,tesla,2025,Automatique,Cité keur gorgui,95 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0bd436dc3d9dad44aa3a313e3fe161a/-/horizon-files-prod/ed/picture/qngprqrg/19caadff28731e89aba7709c4b1d8d45e17583ee.jpg
D'occasion,Dodge,2015,0,Sicap Sacré-cœur,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfbe84cac0a82d3249af5a7919397768/-/horizon-files-prod/ed/picture/q8v4qdpn/218eb5afb5d544affd9e91fe550487bfbc76fca7.jpg
D'occasion,Ford,2010,Automatique,Mbao,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/741b3e62bdf0a57920e1ae5684de35e0/-/horizon-files-prod/ed/picture/q9mj7ze5/62863825bafd494203103bf7918f8361aa75035f.jpg
D'occasion,Chevrolet,2012,Automatique,Ouakam,3 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c500052c1d4dd3614e73c8a003cfedfe/-/horizon-files-prod/ed/picture/qwepd0mz/0d285f0fc83b8f3016582dc893ef163ad3ac62a1.jpg
Venant,Hyundai,2017,Automatique,Sicap Sacré-cœur,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/648fbbb34ac56ab77511103f8d59e89c/-/horizon-files-prod/ed/picture/qm5gz8rd/de53e575b2293b72c6481b62ba0a8fd92a6e70e1.jpg
Venant,Kia,2017,Automatique,Sicap Sacré-cœur,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f346f372e89e4fa4f0b3a4cfb5907779/-/horizon-files-prod/ed/picture/qj4qnv4d/6a5d458e3f3e40ff0333ee4c02d1de48752a5d9a.jpg
Venant,Maserati,2018,Automatique,Sicap Sacré-cœur,26 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49a52d83f08f7b892461a2d2e12afdd5/-/horizon-files-prod/ed/picture/qpdmxxwx/49d721d880dfe25cee3451f018a02b2f390382d7.jpg
Venant,Kia,2017,Automatique,Sicap Sacré-cœur,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/833a2fc87a6c6ff51cb53f795acd6770/-/horizon-files-prod/ed/picture/qpdmxxpx/7d8323e97bf0552033fdc17563323eaa186ab628.jpg
Venant,BMW,2017,Automatique,Sicap Sacré-cœur,14 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/675aed117a78a610074404db9eb88bfe/-/horizon-files-prod/ed/picture/qde75v62/3e07eb660c99235ea4268a6f425dca796da5dd84.jpg
Venant,Renault,2018,Automatique,Sicap Sacré-cœur,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b58e87c1d59f7a9d96cdf7ed1630bc3/-/horizon-files-prod/ed/picture/qj4qn826/5137d108ac1523faa7570e1fb8734749264b8866.jpg
D'occasion,Hyundai,2016,Automatique,Nord foire,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8495da484276c1630e229cd98dcb8ef/-/horizon-files-prod/ed/picture/q9mjpwe7/eb925eca8d830f8c160523a2effe18a53536ff19.jpg
D'occasion,Ford,2017,Automatique,Sicap Sacré-cœur,9 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8bf35147df93cc098d1a08a82434346b/-/horizon-files-prod/ed/picture/qxjp509n/28d016a27877a995edcf02a2f2636d379859fe26.jpg
Venant,Jeep,2016,Automatique,Sicap Sacré-cœur,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81769d3ab4ef969f29e4d7ea97d7103c/-/horizon-files-prod/ed/picture/q8v4jq07/186722720b927ae46665e05ff052c3daa8e75537.jpg
Venant,Toyota,2021,Automatique,Sicap Sacré-cœur,26 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39475d46245978db56da1768eb787f2d/-/horizon-files-prod/ed/picture/qzvp774d/27089077723b20ef697e2d015452ca95b425a3ea.jpg
Venant,Hyundai,2021,Automatique,Sacré-cœur,21 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/83c0eac264df27a784ac46c68269685e/-/horizon-files-prod/ed/picture/qv4wnv6x/5cd2842c8c11387231b53e5882f92453cad3db2e.jpg
Venant,Mazda,2017,0,Liberte 6,9 950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70cab28602c0289e0818dee52c340ef6/-/horizon-files-prod/ed/picture/qde7x86r/c636049c83c0e05307d06532ea47e3c3ef3f01fc.jpg
Venant,Hyundai,2018,Automatique,Dieuppeul,6 950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82928c281b316777f2034a1d46c182e2/-/horizon-files-prod/ed/picture/qm5g82mr/633c0933e03bd9ce9ec28652b1faca1ba229a0a8.jpg
Venant,Nissan,2016,Automatique,Point-e,6 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a92491f9b138dc438b2d937269e1fced/-/horizon-files-prod/ed/picture/qzvpg82d/27c6da4a6635abdef59696cddd5d0b3b1bcdf2c4.jpg
D'occasion,Toyota,2019,Automatique,Liberte 6,30 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a60363d1bda83cb726401c5ea0757bd/-/horizon-files-prod/ed/picture/qv4wn8vg/1687eb84359eef167740b501bd2086a11103428a.jpg
Venant,Hyundai,2017,Automatique,Fenêtre mermoz,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/40c352ad826de9c0310f6aa665ed0e37/-/horizon-files-prod/ed/picture/qngpr68w/17022690bd14ac2346dc97294cab29e21b9b9fa6.jpg
D'occasion,Mazda,2018,Automatique,Almadies,14 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec6144b5ae0b4bcf5af2215beb6d7aa4/-/horizon-files-prod/ed/picture/q8v4qgnx/86999ed1cc7e15e57893b79e6dea24e39cb353e8.jpg
D'occasion,Chevrolet,2013,Automatique,Ouest foire,3 400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ca67bc619c3528cdcbc84b00cfc03cc/-/horizon-files-prod/ed/picture/q8v4qevr/acebc401bad449f3985afa5ac4a7d00ad71c260a.jpg
Venant,Peugeot,2019,Automatique,Point-e,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d04798f19804cdafe99ca92b64a66c8/-/horizon-files-prod/ed/picture/q2j0pezj/43a9808b209cd74dfd6cf6fc784da878fc916b8f.jpg
D'occasion,Nissan,2016,Automatique,Guediawaye,6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa4d4457ee2a759a8064c6a7022651a5/-/horizon-files-prod/ed/picture/qde7xv6g/05caf3b71172cd76256b0392d7379d707b0621c2.jpg
D'occasion,Mercedes-Benz,2012,0,Cambérène,2 850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c4a79e2b442dc6eb49ebf5332708e75d/-/horizon-files-prod/ed/picture/qenvg0x9/9658aa98a4f74193109c6a4755397e6e2745e375.jpg
Venant,Citroen,2017,Manuelle,Rufisque,5 500 001 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f52697d3dd9efdc0e0dcb27172cbe31/-/horizon-files-prod/ed/picture/qngpr6vr/80cf629e8c0631bf1d835e23e680167d491793b5.jpg
Neuf,Ford,2013,Automatique,Parcelles Assainies,3 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c770d735c1f05f545b4b13e76a3f551f/-/horizon-files-prod/ed/picture/qde7xvrw/6b8cfd16e9ea4e361b6c88729064fb3ff83aa1b9.jpg
Venant,Mazda,2017,Automatique,Bargny,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/461a2ddd7dba2054b7a1cd3ca697571c/-/horizon-files-prod/ed/picture/q78wne8x/78f5b6ac79984973f17d8405a557e95a8ab6c3c2.jpg
Venant,Renault,2016,Automatique,Almadies,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e354a26ba7d3dab5d1819896ddcb12f3/-/horizon-files-prod/ed/picture/q56d7e80/0caff84c804d07ff55cc02e1ffadb625ec416649.jpg
D'occasion,Ford,2014,Automatique,Liberte 6,0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/986126d326024eb5c730130ce58e325b/-/horizon-files-prod/ed/picture/q0g7ee7j/78ad60a3edeb03e3f3cdb19a441f12fd9ee8e7a3.jpg
Venant,Hyundai,2017,Automatique,VDN,10 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78170d7ce1e6ebd3e007fd6c7ad9c65f/-/horizon-files-prod/ed/picture/q56d7ejr/8400d3f4a754e1b1c2abe80ba7d3b1eda0e78a33.jpg
Venant,Toyota,2026,Automatique,Liberte 6,15 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/461a991b3163d6716e3a5b6740b935cb/-/horizon-files-prod/ed/picture/q6xd0epz/b851369cf1210daaea2fd3a587d9bf520a8da713.jpg
Venant,Nissan,2018,Automatique,Médina,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f781a14b148ab6f312dff32719a4e779/-/horizon-files-prod/ed/picture/qkr89wmn/653afaefe861e475fd5dc610b5fb493b6804c70e.jpg
Neuf,Mazda,2017,Manuelle,Nord foire,8 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff1be3ff044b8bff7898dd980d71e7c5/-/horizon-files-prod/ed/picture/qzvpg72g/89d9cf1eef3ccfdae7551f851d2799d3e59c5aad.jpg
Venant,Hyundai,2016,Automatique,Médina,10 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d633d85650e9e994fdc6bc88fc2f196/-/horizon-files-prod/ed/picture/q2j0p4z6/af400ee63c8775606d309cd84b08e1fbef5800d0.jpg
Venant,Mazda,2018,Automatique,Sicap foire,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b00da01f846440a7e973d744798342b/-/horizon-files-prod/ed/picture/q8v4qjz9/5400d9fbb0f887ce27e19a68705bea4f369c2f73.jpg
D'occasion,Ford,2012,Automatique,VDN,4 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9583750521d548acdcd1147b9eaaef86/-/horizon-files-prod/ed/picture/q44nexdp/3e80d5e9285974796236baeed77fd72c29603736.jpg
Venant,Mazda,2020,Automatique,Sicap foire,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9cefa0b8f8a058b72a4d5c22980947b8/-/horizon-files-prod/ed/picture/q78wnk7d/fdc37c8b9bcaa56d7d617936bc7044241b3cd354.jpg
Venant,Hyundai,2019,Automatique,VDN,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf2825e80a7286a5e8d00c464016188b/-/horizon-files-prod/ed/picture/qxjp5wv4/cdcc72fb00292e0f33544a3c79106e12612ef7ef.jpg
