etat,marque,annee,boite_vitesse,adresse,prix,image-src
Neuf,Kia,2019,Automatique,Cité Damel,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4359bc92ea8a228a7061f7e087382ec7/-/horizon-files-prod/ed/picture/qxjp0qmj/6b5864b1e5d4f4ae2aabb865df9b2de2c8c63e50.jpg
Venant,Hyundai,2017,Automatique,Gueule-Tapée,8 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4e133c0281e3ea318fa8af492fb00d1/-/horizon-files-prod/ed/picture/qde7vz7m/b4dfccc51f724a4bfa29e0e02ea135bcc485a39d.jpg
Venant,Mercedes-Benz,2019,Automatique,Liberte 6 extension,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7603026d61a222d040a31df90965af4/-/horizon-files-prod/ed/picture/q2j0evg2/f5b5956b7ad3f1b1e61a1840cd40f568d24790ed.jpg
D'occasion,BMW,2019,0,Mermoz,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d10779657855b320972ea32cbff89323/-/horizon-files-prod/ed/picture/q2j0evd2/7a71817a2a63a83902e58d2c051e2ab7e73e78ad.jpg
D'occasion,Toyota,2015,Automatique,Plateau,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d5f21cb75cbaa9396de17bc0b521e74/-/horizon-files-prod/ed/picture/qwepvxkz/4ac2aa44b6fe28f57c39cc4f6de81e8e0d5b6394.jpg
Venant,Kia,2017,Automatique,Cité Damel,11 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f556d26971b8c912d0d8f275c4fc2e3f/-/horizon-files-prod/ed/picture/qxjp0vdm/1bb925397e25e1bea3c20272433e71a19940ba9d.jpg
D'occasion,BMW,2017,Automatique,Mermoz,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35d376a02dea23fad9f4d84ea399255b/-/horizon-files-prod/ed/picture/qrz8p8r9/f68b4d35410ed1fe5cae78b8425e435fd76cec1d.jpg
D'occasion,Peugeot,2005,Manuelle,Mermoz,2 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2c94dad5c6e9fba06b56870ce2fd5cb/-/horizon-files-prod/ed/picture/q2j0e67d/3de42fcd67bb9154bad950002fff47760340bf25.jpg
Venant,Renault,2017,Automatique,Liberte 6,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1d615de10d6677b0615d778e1dcc056/-/horizon-files-prod/ed/picture/qv4w7698/47dbcae1c702443a60f8ce4962074a1e11c21eea.jpg
Venant,Peugeot,2018,Automatique,Liberte 6,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0291df5d61a19b0f557a9312b7d2e3ef/-/horizon-files-prod/ed/picture/q9mjeqrp/ea58daf715ffdd2ef1d59a8b786975e225f5ff91.jpg
Venant,Hyundai,2017,Automatique,Cité Damel,6 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec1dfba79170ae6d0a0a1d555a1a6b3c/-/horizon-files-prod/ed/picture/qrz8pe7x/785e90c717bc5c83592ddb8df31e09241a188cd4.jpg
D'occasion,Mazda,2016,0,Hann maristes,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6707402362e1948a9d4d0b3f173c069a/-/horizon-files-prod/ed/picture/qzvpnm7v/8bf004870d5e982e13f46e021bd22a3449766588.jpg
Venant,Hyundai,2017,Automatique,Ouakam,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ec98016728c429422ada03c73c951e/-/horizon-files-prod/ed/picture/qm5gxxgg/1c4c6e5d3066d973e34076a52be162cee9aed5f4.jpg
Venant,Peugeot,2017,Manuelle,Guinaw rail,6 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd39a1843e23eff6f689f109abefe9f0/-/horizon-files-prod/ed/picture/q2j0eekg/0b956a72496c9be1e0e0b2c2cad8462700c5fe26.jpg
D'occasion,Ford,2011,Automatique,Colobane,2 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/744a8d3ba794f698470a5e179525de61/-/horizon-files-prod/ed/picture/qkr844ew/96261d4cbc62eefdcd877c5fd9f37e9e3a85b134.jpg
Venant,Ssangyong,2016,Automatique,Parcelles Assainies,7 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/004525438eaf197fd9736fe092082934/-/horizon-files-prod/ed/picture/qde7v5rm/19249473a145964f68d60a6356c9c5afc632f483.jpg
D'occasion,Ford,2012,Automatique,Sicap foire,4 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2196c06b47b29b82978cd2c09800deae/-/horizon-files-prod/ed/picture/qzvpndwk/6c13d32b0149388623e72058a4f0a0962b3997e9.jpg
D'occasion,Maserati,2018,Automatique,VDN,34 900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7dbc829c9cb72728614c4ad172ea40c/-/horizon-files-prod/ed/picture/qv4w7zd5/a97df04b5e2d5ba2e4c57be3108f927cf03a8d95.jpg
Venant,Hyundai,2018,Automatique,Parcelles Assainies,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad3e6bf4c1bc7b82fd904b3d7c8d4a3b/-/horizon-files-prod/ed/picture/qpdmxp6p/a9fbf8ff34eb25459a21c5863efbb1fa376d93ff.jpg
D'occasion,Volkswagen,2016,Manuelle,VDN,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbfb6a9e8abb5b09f2b2490c5f2e98a1/-/horizon-files-prod/ed/picture/q44nw272/1ca9fa995dfda63a5c350015495ad021dd7c7592.jpg
D'occasion,Chevrolet,2017,Automatique,Cité Damel,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bcd756910745aff2be153f0257d43ba/-/horizon-files-prod/ed/picture/q8v4eq2x/5ca925764ebb96f7ce9cb2c203938ed004f1aab6.jpg
