détail,état_tv,adresse,prix,image_lien
,Neuf,"Sud foire,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13a06a67d1d63344191c4cfde9356508/-/horizon-files-prod/ed/picture/qq4z4mqv/39a42b91a9d7db278ba5e0a15bb57a42ae686466.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8189997313151471c9a9c34ae43cacbb/-/horizon-files-prod/ed/picture/q0g7rn5w/641520c23ee7f1d2090e95b9174b89cde3581660.jpg
,Neuf,"Castor,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbc1cf67f702ecbce9f84658e6441af2/-/horizon-files-prod/ed/picture/qm5gxze9/a8b69a2184d7aad1c7a2104e2800897589ddbdf3.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1309197659571bf7861ef9c723fa84ed/-/horizon-files-prod/ed/picture/qrzrnvvm/21720097cad52bbea53bec6fcec93a1b1a09139e.jpg
,D'occasion,"Médina,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55cf96cef37c5a8c11e80f4a05c21289/-/horizon-files-prod/ed/picture/qng9xnxm/89c0236aeb242f9253a058475adea8ff03681c66.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5e2e83b98da6832f125cc04ebf7cb458/-/horizon-files-prod/ed/picture/q0gkkm4g/536ec7115de76a6d8e3d4c5beb20d2d55edb4049.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",23 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3fad76dcb8867fca376af0b07fab35fa/-/horizon-files-prod/ed/picture/qrzrr9wx/44d3b4d73736a69af69363e163faee192b6bebe5.jpg
,D'occasion,"Yoff,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4f73018c30c79862a02f6e8bd5beb08/-/horizon-files-prod/ed/picture/qm50054m/9c501095edcdf3e3c6a5341e28b5425608f8397c.jpg
,Venant,"Patte d‘oie,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d22cc30f492037a439a244c268a4a932/-/horizon-files-prod/ed/picture/q2jkkjn6/759f5cf65f1120bd231fc9518f3f04d26d02ffc0.jpg
,Neuf,"Bel air,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e868f8a2bfeaae731eecef5517af4ee/-/horizon-files-prod/ed/picture/q6xqq89g/866e0ab33e4d7cdc6629e9b16b5784ae7ead0859.png
,D'occasion,"Rufisque,
                                                                                Dakar",245 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bac6897672f64668f5413c96d5fcfd41/-/horizon-files-prod/ed/picture/q2jkr4j8/e251d649a44e85120394776c73a5e152f1285838.jpg
,Neuf,"Patte d‘oie,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ec3cf2bb976994e804a050651420bc9/-/horizon-files-prod/ed/picture/migrated/q27rqwj/8f94b28300b6448927ad77adaa57010d28ac9e00.jpg
,Neuf,"Médina,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0da4182a6d99a76b244eb9aba06782f5/-/horizon-files-prod/ed/picture/qj07ek8/c90c9dd3dcefbc97f56f05ca9c488c1ed7ac2b9c.jpg
,Venant,"Hlm,
                                                                                Dakar",275 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff65bb15aa4fd514bc09ed04f4794a70/-/horizon-files-prod/ed/picture/q0gkkd78/f2613f1bad2bf5547350e30c7be20efb88f6b79a.jpg
,Neuf,"Hann marinas,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5a2491abcce07edbfa93b1ba7836cac7/-/horizon-files-prod/ed/picture/qj466244/f7582a306bf89d755b400b0fe0bb4c25717522c2.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",550 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49e93f9a11abf117a62d554a2a580c72/-/horizon-files-prod/ed/picture/q4455r95/1b8cf5de8b2758ea98eb05cdec0b5ad947e717b0.jpg
