détail,état_tv,adresse,prix,image_lien
,Neuf,"Plateau,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a0ac17d09d6c2fbbec1e35ed882f339/-/horizon-files-prod/ed/picture/qm5057jw/a59b3ff4b2cbe395b29eb313711026cc3d4b6aee.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aeb4d8d4e7155cdee11d28c55c50fd7a/-/horizon-files-prod/ed/picture/qrzrzw6q/240d6f9da81abefdbc943fcdb8381bc804e5314b.jpg
,Neuf,"Médina,
                                                                                Dakar",45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76e67bbc59583412c6d8c1fee81cac9a/-/horizon-files-prod/ed/picture/qenr5nx4/bafc274cc59c25038763ab2df7ec8f68bd714c2c.jpg
,Neuf,"Castor,
                                                                                Dakar",37 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8b881b859ccb0f2c25691a98fdca359/-/horizon-files-prod/ed/picture/q9mk8v70/d40a4a30820401b66b19af1afc4da239ee198dc7.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b85c9182381181769570a88890ea21a3/-/horizon-files-prod/ed/picture/q8vmv8k0/0ec3e19137bcdd60cc388f20c5f84ac170bea550.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f23bc13ac0b9e35977e13589f18f2717/-/horizon-files-prod/ed/picture/qkr75dgn/e8417179a82ab1464bc20e9e4edd6eee607d2902.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3086e5c4a5eb2cd0ba86112dd6394ea8/-/horizon-files-prod/ed/picture/q445d28p/96cb98bbb9c1b41edec43e4f26edd5ede82278c2.jpg
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/80031cc6a2b1ce94f2f7c86528fc2a1d/-/horizon-files-prod/ed/picture/qxj86n6z/745e37dcc64345d7091da6e404140e4ddc84c192.jpg
,Neuf,"Mermoz,
                                                                                Dakar",45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/403101face62c070309d342beb40ce04/-/horizon-files-prod/ed/picture/qde9w644/c3f2c5c33f9e8f6b7c5a16b5b409a5106b213977.jpg
,Neuf,"Thiaroye,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7acfd5a8054a003caf319d6743fb43c/-/horizon-files-prod/ed/picture/qj46j24w/f44f0a4c72d5b7f564fc642162d17011d0024317.jpg
,D'occasion,"Guediawaye,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dfb2ec1d0624b0ca2c223860c1d96933/-/horizon-files-prod/ed/picture/qxj86xxq/c1e1b315402b7929238c0f9f649750920661d154.jpg
,Venant,"Patte d‘oie,
                                                                                Dakar",800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dafc37c85f0c2e508eec2c0ee459e779/-/horizon-files-prod/ed/picture/qngxedek/32fe27bd44e0028d342e7a1719c38f2923c35329.jpg
,Neuf,"Liberte 6,
                                                                                Dakar",69 999 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f38b54bb7447cd6d63204f0495402d99/-/horizon-files-prod/ed/picture/q44nmv6e/c1d68cda76ec08ae5f3240fad6698611a81eed45.jpg
,Neuf,"Médina,
                                                                                Dakar",125 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39d888c58c128de321d195aec07706f8/-/horizon-files-prod/ed/picture/qq4zd70e/b76aa107f68a111762c1618ee1348f2ec8ecdaf2.jpg
,Neuf,"Ouakam,
                                                                                Dakar",4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d79a915a9c07f0c4400233d83477a198/-/horizon-files-prod/ed/picture/qj4q80jr/a10e439e7015a1ed9e3f67606cc98696b304d6bc.jpg
,Neuf,"Plateau,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/721ad6adb3a6b2c4b97b9d1c93d3884e/-/horizon-files-prod/ed/picture/migrated/qn72w6x/a1daa125de6742816ed31c8565c71844349cb990.jpg
,Neuf,"Hann maristes,
                                                                                Dakar",24 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d99fcdee0f2c3e06912f1edf2204a490/-/horizon-files-prod/ed/picture/q9mjg0jv/0bc964e6b1666eb53159da5fdfe3097d8a8932ac.jpg
,Neuf,"Castor,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66975d4381731b737a73ff0650f87b13/-/horizon-files-prod/ed/picture/qde7r96r/b29419c8024798768638c75f7c68b2f28090f3f9.jpg
,Neuf,"Castor,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21640dec95466bcb0a61c7f777ed2b96/-/horizon-files-prod/ed/picture/qrz8mzk4/5c4f70a8fe20f733ebb8fa1e67b0e3e030ad61fd.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/67dc01d6a6fd851a62bb1a14f8f27498/-/horizon-files-prod/ed/picture/q94z565/3bdde9ca8596248a7dce0fa248c41885c7dfbc2d.png
,Neuf,"Plateau,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/477611059b81ac8ccaa3d0e5fedc5015/-/horizon-files-prod/ed/picture/qwepj8rz/399fe78ec90db84216b9a10bfd2e36558a837f1d.jpg
,Neuf,"Thiaroye,
                                                                                Dakar",32 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30def00994402a93d7213710dafe4ec0/-/horizon-files-prod/ed/picture/q78j89nj/a127abeb77e3bd4cc542975b491b6b89b9edef75.jpg
,Neuf,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/86be34edab6007615a80ba2a3fc7b521/-/horizon-files-prod/ed/picture/qq4z4e8p/653bdd6b250746ec021740b31d98d7133f05e6f7.jpg
,Neuf,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6e9821fcc0bd45a56b6c8f51919def10/-/horizon-files-prod/ed/picture/qenvgjrv/6ae9437d8b52c9a6df56879245d3fd75ef342b64.jpg
,D'occasion,"Ngaparou,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ad0dacd424169fc37e9d0777242a1f5/-/horizon-files-prod/ed/picture/q78j8q55/8b55938ab665dddcac5a18e9fb5d5304a6e793c5.jpg
,Neuf,"Plateau,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a9cd63286d155a7fd0b6a39b481d2a1a/-/horizon-files-prod/ed/picture/q78j8q0j/36ede3a3a704e5b577ceb4fc4a078a0aadefb80d.jpg
,Neuf,"Castor,
                                                                                Dakar",22 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ac0e7a3699cbe89e235c119f90d5eda/-/horizon-files-prod/ed/picture/qkr7rnq5/36dfe660d8b59052b426113f6e310b741c631404.jpg
,Neuf,"Castor,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cee2e567bcf86fcbb2aad70ba24c389a/-/horizon-files-prod/ed/picture/qq4z4xge/398a6b099879976416dbbf243e2bc7b458113f53.jpg
,Neuf,"Castor,
                                                                                Dakar",19 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fac287916d4117150dbc205962d4201/-/horizon-files-prod/ed/picture/qv4d4vx5/0176c69c2bfbc5b03f22529b7f6d678e2ec87b63.jpg
,Neuf,"Dieuppeul,
                                                                                Dakar",3 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a37a2a4e8a10a3f5f3e4b2fbb72119e/-/horizon-files-prod/ed/picture/qgq99req/c1e4bd3dfe6112cae54e0b6b20864a415198b666.jpg
,Neuf,"Castor,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/213be9b5d73baa7415010ae2df869a34/-/horizon-files-prod/ed/picture/qngpwmwz/dbaa3fbe20fddc810fe09eac3f4d564c7af470b8.jpg
,Neuf,"Plateau,
                                                                                Dakar",180 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b21bac2975af5887fe6f11b757b538e/-/horizon-files-prod/ed/picture/q0gkg0v6/e8b68fb2ed41eccad650f25e0b518e6333c2ebdf.jpg
,Neuf,"Ouakam,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb8302ce58ad1d5431d9e6cf04945336/-/horizon-files-prod/ed/picture/migrated/qm0j529/09e8d7e8562a17b34f0d50f9e7e3b42863d46aef.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a9e7c1cfaa1c55a534c571a84b800946/-/horizon-files-prod/ed/picture/qzv8v5rg/d942ad5da1710f9cc7c6d9073c2478558614672e.jpg
,,"Médina,
                                                                                Dakar",,https://i.roamcdn.net/hz/ed/listing-thumb-224w/563b303312277d5c417385f95bd16f62/-/horizon-files-prod/ed/picture/migrated/q95g0v5/c6b3ffa3e5993d10e7fb0c74e6d83930f9e67479.jpg
,Neuf,"Grand-Yoff,
                                                                                Dakar",105 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0bcecdfc4ffde8566f7a9bfb20ed3a8e/-/horizon-files-prod/ed/picture/qzv8vxr9/db93fff71d8c5d5ccbe67983ff631408c0aa4a71.jpg
,D'occasion,"Almadies,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac4a637bb6fddf5aca5dc99c1190ce54/-/horizon-files-prod/ed/picture/qng9g0re/0f26e7a2b5fecf9c58b4931da1c18eb8cd76d175.jpg
,Neuf,"Castor,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6920230fe52ae848e0b0bd1b70f75d0/-/horizon-files-prod/ed/picture/qxjpedem/9dba802f41192987ff1cf27a78a2ac807581a6ab.jpg
,Neuf,"Médina,
                                                                                Dakar",45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f2f17b27646e1291466cd01a4654844/-/horizon-files-prod/ed/picture/qpdmjmqx/55b785d605f8deff9ea5559ead17c786421860b6.jpg
,Neuf,"Ouakam,
                                                                                Dakar",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd628b3eb876bc0ae3ae2e455ab736f0/-/horizon-files-prod/ed/picture/qxjp0rjq/27dd9dc79495a8732650600b34019344871b160c.jpg
,Neuf,"Ouakam,
                                                                                Dakar",65 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0a6950c9de48d0b1405e58b7192a75d/-/horizon-files-prod/ed/picture/q78wngxq/6c974b28d404d9cc966acc29208233a0b6de2c96.jpg
,Neuf,"Pikine,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9f65e692840ec0ea17bf93622f4c5ed/-/horizon-files-prod/ed/picture/qxjp0gjv/be70b6a9386f533e0cfe4f9e3b53b01221e98e67.jpg
,Neuf,"Castor,
                                                                                Dakar",18 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21c7ade042b7b5d4ca96d08a44e76f71/-/horizon-files-prod/ed/picture/qxj8d4nm/c0d9caf16383b952fa7f2d52fd67e153a69870d3.jpg
,Venant,"Thiès,
                                                                                Thiès",5 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eed943c477ed0382a6e92f0ea217d281/-/horizon-files-prod/ed/picture/qj4qvj25/ea113a7656f9ddcc7a4cc5bc48d9af2cf0716d21.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",46 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d89bf41d6a295f235fcee5b914493a02/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qng95k8v/34205cd8dbe7ad87d5c7656a0f2e1227a653d98e.jpg
,Neuf,"Sicap foire,
                                                                                Dakar",20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ed216048b379497c6745eef111dc498/-/horizon-files-prod/ed/picture/q56pwq55/de28e397912a2e9971840d7d0d82ca13c64b60fe.png
,Neuf,"Sicap foire,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0935d1da7027ada9e6cdf1aa1218db80/-/horizon-files-prod/ed/picture/q8vm0rd0/0e90606e8546a39f31a3ab0a699b59b094495ebe.png
,Neuf,"Sicap foire,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/23db3778a9bb9f9cc1f506723340ce5d/-/horizon-files-prod/ed/picture/qng9582m/d65c1180659dee74695dc21fa393cf6c80637074.png
,Neuf,"Sicap foire,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecb257b736dc5ec8a9d5bead7ed65c73/-/horizon-files-prod/ed/picture/q0gkpv5j/228162061263204f31dfdaed204ecc603df380a4.png
,Neuf,"Sicap foire,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a181b2af34928b5ff75fec141cc627b9/-/horizon-files-prod/ed/picture/qzv82weq/790988f05ed7f80bdb85b90380623b679f425bc3.png
,Neuf,"Liberte 6,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e6bf38eaa880b8976a7792c4d8e275fd/-/horizon-files-prod/ed/picture/qj46m925/c8f9ad9fcc04f8cf9e842e7c5abb0ce03a354420.png
,Neuf,"Liberte 6,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4235ef13c15e258bbea7bdce645d9825/-/horizon-files-prod/ed/picture/q445jw74/61fe548ce966aa5cb87b697000e2046d5ef372c7.png
,Neuf,"Guediawaye,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0655bf8be0c9330a3978d15bbaf554e/-/horizon-files-prod/ed/picture/qv4wrdwg/302519559870d15dbaa1b795971468f456d0db1d.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5b21fda68bd5784257670f538625e32e/-/horizon-files-prod/ed/picture/q2jkznwp/e5a1944f0ef964ccfebcafc5811e5eaa32c9e904.jpg
,Neuf,"Hlm grand-yoff,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4da3671cddcc360db4e91e7215f45b3f/-/horizon-files-prod/ed/picture/q8vm0xzn/6033dc8c75e5a92d71d53f6ab96812dbbccddd33.jpg
,Venant,"Parcelles Assainies,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/61cb6ec05a426eccfc40704d10cde0b5/-/horizon-files-prod/ed/picture/qkr89nem/ba7159842702a335009d8e9c4dec53e838a27696.jpg
,Venant,"Parcelles Assainies,
                                                                                Dakar",65 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c3e5cafbf2d0a16950ab9cf34f15a1d2/-/horizon-files-prod/ed/picture/qwepq060/41235a60b80c6427ff39e1c02b4342361ff6fc54.jpg
,Neuf,"Castor,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/592f0e2a3b7f427abd8f3289701c87d9/-/horizon-files-prod/ed/picture/qrzvdqmm/ab9b0b30ac5ed8dd1ac97ed079bfbdc3162918d3.jpg
,Neuf,"Gibraltar,
                                                                                Dakar",55 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e10acc5c004cbc722dc5745430cb73a8/-/horizon-files-prod/ed/picture/q445j5e8/c0083d8507c86e8fd3f3c74cd3aa0c2d1244603d.jpg
,Venant,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e467d1fd5fbb0c3b1c6c118a4c82ea2d/-/horizon-files-prod/ed/picture/q8vm0457/4f8f63e086c5648ca33757a3d49ef4fcb56fc091.jpg
,Venant,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b59e55a3ab203c84a6c5cd50fc921668/-/horizon-files-prod/ed/picture/qwermpz0/8dc3ac8f615bf531e1f81363e933f9812974b9c1.jpg
,Venant,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68a7bb99bb1d4498a012d22c99644dfe/-/horizon-files-prod/ed/picture/qv4dmwpx/f907aedcfbc990dfd5bfdbb65f89ac71312f2b19.jpg
,Venant,"Thiès,
                                                                                Thiès",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1671de5881b6024b74df51c4c17ff4aa/-/horizon-files-prod/ed/picture/q6xq7d6v/dc5addeede18c0efed8b23491c7b4f3805336bad.jpg
,D'occasion,"Ouest foire,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/df521dcfb671954db3294208c54e9473/-/horizon-files-prod/ed/picture/q445j4m9/57955d03653196479d949b25970f3c603e9ce3a2.jpg
,Neuf,"Ouest foire,
                                                                                Dakar",170 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5fcbfa812465241849072dc73868588/-/horizon-files-prod/ed/picture/qpdmkkjq/cf60ddb0412877610fc887dabafe6358928a852c.jpg
,Neuf,"Nord foire,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fe012a4409345c232687ca1c00d34d3/-/horizon-files-prod/ed/picture/q448xw4v/45dfd74a057b475f93adaafa97f25d8734c91068.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18fb2ae6d4e0fe268b99d12668e38292/-/horizon-files-prod/ed/picture/qpdmkk5w/b82105106f9b57993b021e75a420dc16b953c3cb.png
,Venant,"Liberte 6,
                                                                                Dakar",24 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f672b7e5a9a9dc70942f7f1b3711f23/-/horizon-files-prod/ed/picture/q56d7me6/de98261dd57c0a5cfb19f7882fd87d0b2d1939a7.png
,Venant,"Liberte 6,
                                                                                Dakar",32 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0f712fa9f333ea1d1af750dc0fbc62d/-/horizon-files-prod/ed/picture/qrz8dg9m/50a3253ba266d85c3618cce0dfe264dbb1ef0e36.png
,D'occasion,"Parcelles Assainies,
                                                                                Dakar",10 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dedc308256c15548acfb9e68f0cb1946/-/horizon-files-prod/ed/picture/q0g7mxpx/b0ab53364c775a322ecea9b7272091c7e3762e04.jpg
,Neuf,"Guediawaye,
                                                                                Dakar",3 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dd42120c6cb5f4d6278b18a1bff9962/-/horizon-files-prod/ed/picture/q2j0prj8/593136af0f273c770ddb17991fc6ad9d69f2c643.jpg
,D'occasion,"Guediawaye,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f79c860b79eba37e380db19c354aa68b/-/horizon-files-prod/ed/picture/qngpmn0m/9995f962116241102a171e1ae4fbab465c473fe5.jpg
,Neuf,"Hlm,
                                                                                Dakar",38 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c333f8cf7a94043adfeab5822c89061a/-/horizon-files-prod/ed/picture/qkr8wdrp/1e751226430f6981e8d9bc51d066434796ea2e27.jpg
,Neuf,"Patte d‘oie,
                                                                                Dakar",32 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e26991567ce9c4dea1d41cc3671edae5/-/horizon-files-prod/ed/picture/qxe7knj/69d4ae568f569ae79fa26bf543d05c0574e39bf4.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd11666851bb23c7580ec6a4e5e3d092/-/horizon-files-prod/ed/picture/qxjjmgnn/da33f960361f12cd9d220e7c983a14ce52ed2b5b.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/636d39c3f1415686d4ba1de2e031ff61/-/horizon-files-prod/ed/picture/q62nmnj/b8b123ce861d7f43c70f4d63a2c96400b0bc0eb8.jpg
,Neuf,"Ouest foire,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e160622580fd1f30abb007a93f7075e/-/horizon-files-prod/ed/picture/q56dnqv2/fd1e1ba88deb399eef18a3f19e2e9830b2869bdc.png
,Neuf,"Grand-Dakar,
                                                                                Dakar",6 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa1678ccfc36597e437b37aaa8693150/-/horizon-files-prod/ed/picture/qqppndw/39dc754f03e34fb480c3abd19007c45840b11e35.jpg
,Neuf,"Castor,
                                                                                Dakar",19 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa3faeed105f27a1c8e9ce7179fb48f2/-/horizon-files-prod/ed/picture/qv4w68w8/8410f6101f7fcba2c48a732ed431f486520dafe4.jpg
,Neuf,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf8ba50810844baa4087a0c5e95c57d4/-/horizon-files-prod/ed/picture/qrz8ek5m/29d24797758bed8da63d7fce32d11352d558abca.png
,Neuf,"Patte d‘oie,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb4819175ad36d163f8e37759e64cfbc/-/horizon-files-prod/ed/picture/qkr8exp8/a84f60dbae28c205ead6b07c9499087452eb4d76.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/88ba210aa0dda47da3a526452ac05a16/-/horizon-files-prod/ed/picture/q2j0kj4e/0c0c73feece0e889133ede3c7dabe1afb64ec7bf.png
,Neuf,"Castor,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de643e83d8970d714bc9d8612601e44a/-/horizon-files-prod/ed/picture/q2j060qg/0d7c3ff0bd08f44c81df76f1e1da031145f0e442.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",11 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24028a0f3ffbbcf5750c22a605d97187/-/horizon-files-prod/ed/picture/qgvx460/8283729cb95bac41e2fe40143027291ef41abca2.jpg
,Neuf,"Grand-Dakar,
                                                                                Dakar",22 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ff3ef708c9592cb0e8cfde61c47a349/-/horizon-files-prod/ed/picture/q9epnp6/dc35e9b55195bbc5aab5f8985fa50aa23ee207c8.png
,Neuf,"Plateau,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/164b600bfaa7807c4500dd2d591e0838/-/horizon-files-prod/ed/picture/q6xdj2mv/664655adfc82037ba3be98798e61ffb0ebed4a65.png
,Neuf,"Plateau,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/656282455451eec2ec5adc477ff2a906/-/horizon-files-prod/ed/picture/qxjpnnj8/29beb3f7b35fa84c1154f30528595ae7875ae75e.png
,D'occasion,"Ouakam,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7263b3ab2c06b8deea6cf3e1ffa01f31/-/horizon-files-prod/ed/picture/q0gwq576/c10387ff88efb57833e5be67651ff5790ef246d7.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89d7c4b8f7744d092f35c6e428e7da65/-/horizon-files-prod/ed/picture/migrated/qp00r7v/0ad0f217c397f6c1ad153f5240378ae0d0b21f23.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd8c84ba6ed7656ab0e6571ef889f5f0/-/horizon-files-prod/ed/picture/qnmemvr/9b3e4735775ea9fe456f617987a5ff65d95e646e.jpg
,Neuf,"Plateau,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/944e24cb4bb7597fb8512b5b3dfa2ae2/-/horizon-files-prod/ed/picture/q785pxnx/980c4b6af3ac82c539fc14979e775350b1db2681.jpg
,Neuf,"Ouakam,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b1ea7e1643d9b48db413f5424f6a5ed3/-/horizon-files-prod/ed/picture/q0g76d26/b2dd6ea262664838b11fea8844270ad73437f844.jpg
,Neuf,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0a9e1626ad873c96af90a5f491fc8745/-/horizon-files-prod/ed/picture/qzvpwg4r/50c54bc81363ea0ba26444852f4dfd35a5708eae.jpg
,Neuf,"Sicap Liberté,
                                                                                Dakar",1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1b7c98026d961b82be2f27a574efcfea/-/horizon-files-prod/ed/picture/q56dq74p/fa8f534044bd25f4fad8ec8ac7f5f37f6c655269.jpg
,Neuf,"Plateau,
                                                                                Dakar",6 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c35c06a6733d1ddf2bdbc7d40060115d/-/horizon-files-prod/ed/picture/qkr8njrj/f6cafb782ae19ec9dc5e9aa84358175bcb699f28.jpg
,Neuf,"Plateau,
                                                                                Dakar",6 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c12fe929fefe84a9cac3fe1064d8323/-/horizon-files-prod/ed/picture/qgqw7eve/c5354d592716fefc6ef2af6a70f822d97b30ef2e.png
,Neuf,"Grand-Dakar,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00e12fc273ab5128bd73c6efd88d02b0/-/horizon-files-prod/ed/picture/qxjdq648/70bf3be91be3ef3c7d073343e07a2b7c61ebcaf3.png
,Neuf,"Parcelles Assainies,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f782a0331125dfa54b82187c8a7e906/-/horizon-files-prod/ed/picture/qgqw7dp9/9fbdb530c43f1c064b423e194423da39ec4f31d7.jpg
,Neuf,"Guediawaye,
                                                                                Dakar",5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7158ae13f66ad01ab17d6b02fe734472/-/horizon-files-prod/ed/picture/qzvpw2vk/f5cf6cea01465fffd809953e05bf7941c0b0e5d5.jpg
